id,key,value,type
40096322,highway,trunk_link,regular
40096322,layer,1,regular
40096322,oneway,yes,regular
40096325,highway,secondary_link,regular
40096325,oneway,yes,regular
40096326,highway,trunk_link,regular
40096326,oneway,yes,regular
40096327,highway,tertiary,regular
40096327,name,jilixiadao,regular
40096328,highway,residential,regular
40096328,name,jilixincundong,regular
40096330,bridge,viaduct,regular
40096330,highway,trunk_link,regular
40096330,layer,1,regular
40096330,oneway,yes,regular
40096331,highway,primary,regular
40096331,name,jiangwanlu,regular
40096331,oneway,yes,regular
40096332,bridge,viaduct,regular
40096332,highway,trunk,regular
40096332,lanes,3,regular
40096332,layer,2,regular
40096332,name,neihuanlu,regular
40096332,oneway,yes,regular
40096332,source,GPS,regular
40096333,alt_name,neihuanlu,regular
40096333,bridge,yes,regular
40096333,highway,trunk,regular
40096333,lanes,3,regular
40096333,layer,1,regular
40096333,name,neihuanlu,regular
40096333,name:en,Inner Ring Road,regular
40096333,oneway,yes,regular
40096333,wikipedia,zh:neihuanlu (guangzhou),regular
40096341,bridge,yes,regular
40096341,highway,trunk,regular
40096341,layer,2,regular
40096341,oneway,yes,regular
40096342,bridge,yes,regular
40096342,highway,trunk,regular
40096342,layer,1,regular
40096342,name,jiangwanqiao,regular
40096342,name:en,Jiangwan Bridege,regular
40096342,oneway,yes,regular
40096342,surface,asphalt,regular
40101369,highway,primary,regular
40101369,name,longxidadao,regular
40101369,name:en,Longxi Avenue,regular
40101369,oneway,yes,regular
40101369,ref,S113,regular
40106425,highway,motorway_link,regular
40106425,oneway,yes,regular
40106426,bridge,viaduct,regular
40106426,highway,motorway_link,regular
40106426,layer,2,regular
40106426,oneway,yes,regular
40106427,highway,motorway_link,regular
40106427,layer,1,regular
40106427,oneway,yes,regular
40106429,bridge,viaduct,regular
40106429,highway,construction,regular
40106429,lanes,4,regular
40106429,layer,1,regular
40106429,oneway,yes,regular
40106433,highway,motorway_link,regular
40106433,layer,1,regular
40106433,oneway,yes,regular
40106441,highway,motorway_link,regular
40106441,oneway,yes,regular
